Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"父與子","Studio Musicians","不能說的‧秘密","ca's write n daydream companion","Playlist","TWA470713009","3M7uQH5rglHonI6KToiTiT"
"Secret(慢版)","黃婉琦","不能說的‧秘密","ca's write n daydream companion","Playlist","TWA470713019","5RRAuolimc009STyUuVQn2"
"小雨寫立可白I","Studio Musicians","不能說的‧秘密","ca's write n daydream companion","Playlist","TWA470713021","12j4rHFIcIT8TZrjlKeZRl"
"路小雨","Jay Chou","不能說的‧秘密","ca's write n daydream companion","Playlist","TWA470713016","3lzjA8QgUmxvYOmB4yiP00"
"Waltz of the Wind","YOONHAN","Very Personal","ca's write n daydream companion","Playlist","KRD981800064","6aIyFDkZ5PDA7knzWlGVCl"
"Perspective","Takumi Kaneko","Unwind","ca's write n daydream companion","Playlist","JPP951300200","15ri8xT1Ep2kXUHbwoyFmL"
"Merry Future","We Are The Night","Fly, Avoid, Love the Future","ca's write n daydream companion","Playlist","KRMIM2240456","0OgL0DC1HZ69McOBe3VDJY"
"This World Today","Takumi Kaneko","Unwind","ca's write n daydream companion","Playlist","JPP951300187","4HfRBrUa0s5t3mPFBXn8mi"
"Ode to Vivian - Rework","Patrick Watson","Ode to Vivian (Rework)","ca's write n daydream companion","Playlist","CA0RZ2200091","18oB9NlhCMSzlte5KAj5tl"
"Rose’s Theme","Toshihiko Sahashi","Haru Original Soundtrack","ca's write n daydream companion","Playlist","JPB531400134","6hYn7hjImGVVQzLbbCVm5j"
"Overture","Soichi Noriki","Haru Original Soundtrack","ca's write n daydream companion","Playlist","JPB531400133","6zpJGtztNYPEJrJaaNNwqE"
"Sometin’ About Myself","Toshihiko Sahashi","Haru Original Soundtrack","ca's write n daydream companion","Playlist","JPB531400135","762EBdyluy3zw5Otr8dVUR"
"Hoshi","Soichi Noriki","Haru Original Soundtrack","ca's write n daydream companion","Playlist","JPB531400136","37D4GJPuL735WIWMAUEQJq"
"Bokudakedemo","Soichi Noriki","Haru Original Soundtrack","ca's write n daydream companion","Playlist","JPB531400137","7oikXPZfrQTwRQxMbsWPs4"
"Meguriaetara","Toshihiko Sahashi","Haru Original Soundtrack","ca's write n daydream companion","Playlist","JPB531400138","3HJjI5CW27HFGimzNy4q3P"
"From A Distance","Toshihiko Sahashi","Haru Original Soundtrack","ca's write n daydream companion","Playlist","JPB531400139","0e6ho5kGqGu7ZSks8zeeHe"
"I’m Ａ Woman","Toshihiko Sahashi","Haru Original Soundtrack","ca's write n daydream companion","Playlist","JPB531400140","0FVt4l0I0XpKBo26VyhqAk"
"Jibunrashiku","Soichi Noriki","Haru Original Soundtrack","ca's write n daydream companion","Playlist","JPB531400141","3pAdKmHui9umN2oi7BZBM5"
"Deai Soshite","Toshihiko Sahashi","Haru Original Soundtrack","ca's write n daydream companion","Playlist","JPB531400142","6Txs4NCh2KvhuaZ6cd8JJM"
"Boy Meets Boy…？","Toshihiko Sahashi","Haru Original Soundtrack","ca's write n daydream companion","Playlist","JPB531400143","2gzydBJx86eQk2mFZM0dDe"
"Something’s Missing","Toshihiko Sahashi","Haru Original Soundtrack","ca's write n daydream companion","Playlist","JPB531400144","4ZNyvrpaOXDwwyu1Dbnt3L"
"Feelin’ Blue","Soichi Noriki","Haru Original Soundtrack","ca's write n daydream companion","Playlist","JPB531400145","46fpURjh0dZnUfo012BwIW"
"Can You Hear Me？","Soichi Noriki","Haru Original Soundtrack","ca's write n daydream companion","Playlist","JPB531400146","1IGDEQB47hkQpfm1B2mXve"
"RT","Toshihiko Sahashi","Haru Original Soundtrack","ca's write n daydream companion","Playlist","JPB531400147","6l9chWa5wzq4r94S7e9dob"
"Hontouno Koto","Soichi Noriki","Haru Original Soundtrack","ca's write n daydream companion","Playlist","JPB531400148","0N0k8sdh0NvsH4YAys85oy"
"(¡-¡)","Soichi Noriki","Haru Original Soundtrack","ca's write n daydream companion","Playlist","JPB531400149","3jtbXACOH6IuYsKocYGUot"
"Boy Meets Girl","Soichi Noriki","Haru Original Soundtrack","ca's write n daydream companion","Playlist","JPB531400150","6FxooRpXZpM2WA4h7nLaOB"
"memento","Teruyuki Nobuchika","memento","ca's write n daydream companion","Playlist","TCJPQ2158975","2XplMSBUiDrgjrjE9aJem1"
